coverage	n
1	7
2	1
3	1
4	1
5	2
6	7
7	1
8	12
9	0
10	0
11	0
12	0
13	0
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	10
126	7
127	10
128	13
129	6
130	5
131	3
132	17
133	2
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	1
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	1
247	3
248	29
249	20
250	1
251	0
252	0
253	0
254	1
255	1
256	2
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	1
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	2
318	0
319	0
320	0
321	0
322	0
323	0
324	2
325	0
326	1
327	0
328	2
329	0
330	0
331	2
332	3
333	0
334	0
335	1
336	0
337	0
338	0
339	1
340	1
341	0
342	1
343	2
344	0
345	2
346	1
347	4
348	0
349	2
350	1
351	29
352	8
353	17
354	2
355	2
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	12
401	15
402	3
403	1
404	1
405	0
406	0
407	2
408	1
409	1
410	0
411	0
412	2
413	5
414	20
415	0
416	8
417	6
418	4
419	7
420	13
421	0
422	3
423	4
424	0
425	0
426	2
427	0
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	1
440	1
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	2
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	1
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	1
519	1
520	2
521	0
522	0
523	0
524	1
525	0
526	1
527	2
528	0
529	0
530	0
531	0
532	1
533	0
534	0
535	0
536	2
537	1
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	6
549	7
550	1
551	1
552	0
553	0
554	3
555	0
556	1
557	1
558	0
559	0
560	0
561	0
562	0
563	2
564	0
565	0
566	1
567	0
568	0
569	0
570	0
571	1
572	1
573	0
574	2
575	0
576	0
577	1
578	0
579	1
580	2
581	0
582	0
583	0
584	0
585	0
586	1
587	0
588	2
589	0
590	0
591	2
592	6
593	1
594	0
595	0
596	0
597	0
598	0
599	0
600	2
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	2
612	2
613	1
614	1
615	1
616	9
617	9
618	0
619	1
620	2
621	0
622	0
623	0
624	1
625	2
626	0
627	0
628	0
629	0
630	1
631	0
632	1
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	1
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	1
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	1
764	0
765	3
766	2
767	1
768	2
769	4
770	0
771	0
772	0
773	0
774	0
775	0
776	2
777	0
778	4
779	1
780	3
781	1
782	12
783	2
784	0
785	0
786	1
787	1
788	0
789	0
790	2
791	1
792	2
793	0
794	0
795	0
796	5
797	6
798	2
799	5
800	0
801	7
802	11
803	1
804	1
805	5
806	22
807	53
808	13
809	0
810	0
811	1
812	1
813	0
814	0
815	0
816	0
817	0
818	1
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	2
828	3
829	8
830	7
831	0
832	2
833	4
834	3
835	4
836	2
837	0
838	0
839	0
840	2
841	3
842	1
843	0
844	0
845	1
846	3
847	2
848	0
849	0
850	0
851	0
852	2
853	7
854	4
855	3
856	1
857	0
858	0
859	1
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	0
869	2
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	1
892	0
893	4
894	5
895	0
896	0
897	0
898	0
899	0
900	1
901	0
902	0
903	1
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	1
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	1
928	0
929	0
930	6
931	10
932	1
933	3
934	2
935	3
936	2
937	2
938	0
939	0
940	1
941	8
942	3
943	2
944	0
945	5
946	8
947	6
948	5
949	6
950	1
951	0
952	0
953	0
954	1
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	1
963	0
964	0
965	0
966	0
967	0
968	2
969	0
970	0
971	0
972	0
973	0
974	1
975	0
976	1
977	0
978	1
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	1
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
