coverage	n
1	6951
2	5324
3	1257
4	1323
5	156
6	414
7	23
8	98
9	0
10	0
11	25
12	4
13	0
14	3
15	16
16	0
17	0
18	0
19	21
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	1
36	0
37	1
38	0
39	0
40	2
41	0
42	19
43	0
44	0
45	0
46	0
47	0
48	0
49	4
50	0
51	0
52	1
53	0
54	0
55	0
56	2
57	17
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	1
113	3
114	1
115	16
